Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,location
-57,-90,-53,-85,-40,-70,-49,6
-71,-83,-78,-80,-57,-81,-60,5
-54,-86,-46,-82,-50,-66,-43,6
-90,0,-80,0,0,-37,0,1
-81,0,-80,0,0,-41,0,1
-70,-87,-78,-78,-61,-83,-65,5
-68,-83,-78,-80,-67,-81,-66,5
-67,-64,-82,-92,-81,-23,-86,3
-81,0,-56,0,-87,-69,-90,2
-39,-68,-56,-71,-59,-71,-59,6
-83,0,-60,0,-87,-66,-90,2
-55,-57,-66,-63,-79,-60,-76,4
-62,-59,-79,-34,-74,-60,-76,4
-86,0,-77,0,0,-52,0,1
-79,0,-73,0,0,-38,0,1
-79,0,-73,0,0,-38,0,1
-52,-59,-73,-57,-72,-60,-72,4
-63,-87,-57,-85,-54,-72,-57,6
-59,-65,-79,-55,-74,-60,-76,4
-64,-81,-78,-80,-61,-74,-62,5
-78,-64,-85,-80,-77,-37,-80,3
-55,-69,-69,-69,-77,-60,-77,4
-73,-64,-69,-80,-77,-53,-78,3
-61,-60,-70,-55,-75,-60,-76,4
-71,-86,-78,-86,-66,-80,-65,5
-54,-86,-60,-68,-59,-70,-57,6
-92,0,-84,0,0,-51,0,1
-85,0,-78,0,0,-35,0,1
-76,0,-29,0,-87,-73,-83,2
-73,-83,-78,-80,-64,-78,-66,5
-78,0,-47,0,-87,-63,-90,2
-55,-69,-76,-63,-77,-60,-75,4
-56,-60,-69,-61,-70,-60,-70,4
-75,-64,-77,-80,-77,-31,-88,3
-53,-86,-39,-68,-32,-64,-32,6
-51,-64,-54,-92,-73,-32,-73,3
-72,-64,-77,-80,-77,-31,-88,3
-84,0,-71,0,0,-54,0,1
-73,-83,-78,-80,-60,-76,-58,5
-87,0,-54,0,-87,-68,-86,2
-56,-40,-59,-55,-79,-60,-81,4
-72,-64,-70,-92,-89,-32,-90,3
-51,-69,-74,-63,-77,-60,-76,4
-68,-85,-78,-78,-56,-80,-56,5
-48,-87,-61,-64,-67,-63,-69,6
-87,0,-52,0,-87,-64,-88,2
-82,0,-40,0,-87,-57,-90,2
-87,0,-53,0,-87,-64,-88,2
-53,-63,-68,-64,-71,-60,-76,4
-85,0,-58,0,-87,-67,-90,2
-88,0,-80,0,0,-35,0,1
-48,-66,-49,-68,-62,-71,-63,6
-79,0,-40,0,-87,-57,-90,2
-60,-87,-52,-87,-57,-63,-57,6
-58,-86,-54,-68,-36,-64,-37,6
-73,-86,-78,-78,-66,-80,-62,5
-44,-77,-57,-64,-64,-62,-63,6
